,id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count,size
1732,15243,,,,,,,,,,,,1900-09-10,Norddeutscher Lloyd Bremen   S.S.Barbarossa,,,,complete,2,72,
1733,15245,,,,,,,,,,,,1900-09-30,Nippon Yusen Kaisha  S.S.Nasuga,,,,complete,2,14,
1734,15246,,,,,,,,,,,,1900-10-01,Century Club,,Dollars,$,complete,4,315,
1735,15247,,,,,,,,,,,,1900-10-01,Lehigh Valley Railroad   Dining Car Service,,Dollars,$,complete,2,48,
1736,15248,,,,,,,,,,,,1900-10-01,Lehigh Valley Railroad   Dining Car Service,,Dollars,$,complete,2,55,
1737,15249,,,,,,,,,,,,1900-10-01,Lehigh Valley Railroad   Dining Car Service,,Dollars,$,complete,2,39,
1738,15251,,,,,,,,,,,,1900-10-02,Lehigh Valley Railroad,,Dollars,$,complete,2,53,
1739,15252,,,,,,,,,,,,1900-10-02,Lehigh Valley Railroad,,Dollars,$,complete,4,76,
1740,15253,,,,,,,,,,,,1900-10-17,New York State Medical Association,,,,complete,4,19,
1741,15255,,,,,,,,,,,,1900-10-17,Provident Building,,,,complete,2,32,
1742,15256,,,,,,,,,,,,1900-10-17,Palace Hotel Grill Room,,Dollars,$,complete,2,118,
1743,15257,,,,,,,,,,,,1900-10-18,Altoona Academy Of Medicine & Surgery,,,,complete,8,16,
1744,15258,,,,,,,,,,,,1901-08-05,Hotel Champlain,,,,complete,2,50,
1745,15259,,,,,,,,,,,,1901-01-01,?,,,,complete,4,11,
1746,15260,,,,,,,,,,,,1901-01-01,Hotel Du Musee,,Francs,FF,complete,4,70,
1747,15261,,,,,,,,,,,,1901-08-06,Electric Tower Restaurant   Bailey Catering Co.,,Dollars,$,complete,2,163,
1748,15262,,,,,,,,,,,,1901-08-07,Revelstoke Hotel,,,,complete,2,24,
1749,15264,,,,,,,,,,,,1900-09-01,St. George Hotel,,,,complete,2,18,
1750,15265,,,,,,,,,,,,1900-09-10,Toyo Kisen Kaisha   Ss Hong Kong Maru,,,,complete,2,37,
1751,15266,,,,,,,,,,,,1900-09-11,Norddeutscher Lloyd Bremen   'Barbarossa',,,,complete,2,56,
1752,15267,,,,,,,,,,,,1900-09-12,Grand Hotel,,,,complete,2,12,
1753,15268,,,,,,,,,,,,1900-09-12,Norddeutscher Lloyd Bremen   S.S.Barbarossa,,,,complete,2,60,
1754,15274,,,,,,,,,,,,1900-09-14,Nippon Yusen Kaisha,,,,complete,2,21,
1755,15310,,,,,,,,,,,,1900-12-25,Hotel Savoy,,,,complete,2,69,
1756,15311,,,,,,,,,,,,1900-12-25,Headquarters 47th Infantry U.S. Volunteers,,,,complete,2,18,
1757,15314,,,,,,,,,,,,1900-12-25,Holly Inn,,,,complete,10,67,
1758,15315,,,,,,,,,,,,1900-12-25,U.S.M.S. New York,,Dollars,$,complete,2,99,
1759,15317,,,,,,,,,,,,1900-12-27,Stanton House,,,,complete,2,62,
1760,15318,,,,,,,,,,,,1900-12-27,Hospital Graduates' Club,,,,complete,2,13,
1761,15320,,,,,,,,,,,,1901-05-04,Norddeutscher Lloyd Bremen,,,,complete,2,21,
1762,15321,,,,,,,,,,,,1901-05-05,Norddeutscher Lloyd Bremen,,,,complete,2,20,
1763,15322,,,,,,,,,,,,1901-05-06,Fifth Avenue Hotel,,Dollars,$,complete,4,198,
1764,15323,,,,,,,,,,,,1900-06-15,Norddeutscher Lloyd Bremen,,,,complete,4,26,
1765,15324,,,,,,,,,,,,1900-06-15,Pacific Mail Steamship Co.,,,,complete,4,26,
1766,15325,,,,,,,,,,,,1900-06-15,Ward School Buildings,,,,complete,2,29,
1767,15326,,,,,,,,,,,,1900-06-16,U.S. Army Transport,,,,complete,2,23,
1768,15327,,,,,,,,,,,,1900-06-16,U.S. Army Transport,,,,complete,2,33,
1769,15328,,,,,,,,,,,,1900-06-01,Burlington Route,,Dollars,$,complete,4,81,
1770,15329,,,,,,,,,,,,1900-06-01,Burlington Route,,Dollars,$,complete,4,122,
1771,15330,,,,,,,,,,,,1900-06-18,Planters Hotel,,,,complete,2,70,
1772,15331,,,,,,,,,,,,1900-06-19,Brown University,,,,complete,2,16,
1773,15335,,,,,,,,,,,,1900-06-19,Brown University,,,,complete,4,19,
1774,15336,,,,,,,,,,,,1900-06-19,Hotel Earlington,,Dollars,$,complete,2,183,
1775,15337,,,,,,,,,,,,1900-06-19,Hotel Earlington,,Dollars,$,complete,2,309,
1776,15338,,,,,,,,,,,,1901-05-15,Metropolitan Club,,Dollars,$,complete,4,195,
1777,15339,,,,,,,,,,,,1901-05-15,Officials And Other Employees Of The Postal Service In San Francisco And Vicinity,,,,complete,8,21,
1778,15343,,,,,,,,,,,,1901-05-18,Usms,,Dollars,$,complete,2,93,
1779,15345,,,,,,,,,,,,1901-05-19,Usms,,Dollars,$,complete,2,96,
1780,15346,,,,,,,,,,,,1901-05-19,Hotel Westminster,,,,complete,2,50,
1781,15347,,,,,,,,,,,,1901-05-19,Hotel Westminster,,,,complete,2,51,
1782,15348,,,,,,,,,,,,1901-05-20,Oceanic Steamship Company   Sonoma,,,,complete,2,33,
1783,15349,,,,,,,,,,,,1901-05-20,Oceanic Steamship Company   Sonoma,,,,complete,2,29,
1784,15350,,,,,,,,,,,,1901-05-20,Oceanic Steamship Company   Sonoma,,,,complete,2,26,
1785,15351,,,,,,,,,,,,1901-05-20,Rev. Joseph H.Macmahon,,,,complete,8,21,
1786,15352,,,,,,,,,,,,1900-07-27,Hotel Columbia,,,,complete,2,45,
1787,15353,,,,,,,,,,,,1900-07-28,General Dundas,,,,complete,2,12,
1788,15354,,,,,,,,,,,,1900-07-29,Princess Anne,,,,complete,2,30,
1789,15355,,,,,,,,,,,,1900-07-29,Princess Anne,,,,complete,2,33,
1790,15356,,,,,,,,,,,,1900-07-29,Hotel Victory,,,,complete,2,49,
1791,15357,,,,,,,,,,,,1900-07-30,Hotel Del Coronado,,,,complete,2,46,
1792,15359,,,,,,,,,,,,1900-08-01,Del Coronado Hotel,,,,under review,2,50,
1793,15360,,,,,,,,,,,,1900-08-01,Columbia Hotel,,,,complete,2,47,
1794,15361,,,,,,,,,,,,1900-08-01,Columbia Hotel,,,,complete,2,37,
1795,15364,,,,,,,,,,,,1900-08-01,Congress Hall,,,,complete,2,37,
1796,15366,,,,,,,,,,,,1900-08-02,Congress Hall,,,,complete,2,39,
1797,15367,,,,,,,,,,,,1900-08-02,Nippon Yusen Kaisha,,,,complete,2,14,
1798,15368,,,,,,,,,,,,1900-08-02,Hoffman House,,Dollars,$,complete,2,170,
1799,15369,,,,,,,,,,,,1900-08-02,Hoffman House,,Dollars,$,complete,2,378,
1800,15370,,,,,,,,,,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,21,
1801,15371,,,,,,,,,,,,1901-06-07,Oceanic Steamship Company,,,,complete,4,37,
1802,15372,,,,,,,,,,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,22,
1803,15373,,,,,,,,,,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,28,
1804,15374,,,,,,,,,,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,36,
1805,15377,,,,,,,,,,,,1901-06-08,Commercial Organizations Of San Francisco,,,,complete,2,22,
1806,15378,,,,,,,,,,,,1900-05-16,New Falmouth Hotel,,,,complete,4,61,
1807,15379,,,,,,,,,,,,1900-05-01,Union Pacific Dining Car Service,,Dollars,$,complete,2,32,
1808,15380,,,,,,,,,,,,1900-05-18,Pennsylvania Railroad Dining Cars,,,,complete,2,40,
1809,15383,,,,,,,,,,,,1900-05-19,University Club,,,,complete,2,13,
1810,15384,,,,,,,,,,,,1900-05-01,Union Pacific Dining Car Service,,Dollars,$,complete,2,51,
1811,15385,,,,,,,,,,,,1900-05-20,Pacific Mail Steamship Company,,,,complete,4,17,
1812,15386,,,,,,,,,,,,1900-05-19,La Guardiola Restaurant,,Dollars,$,complete,4,324,
1813,15387,,,,,,,,,,,,1900-06-19,Planters Hotel,,,,complete,2,55,
1814,15389,,,,,,,,,,,,1900-06-20,U.S.Army Transport Warren,,,,complete,2,23,
1815,15390,,,,,,,,,,,,1900-06-21,New State House,,,,complete,2,34,
1816,15391,,,,,,,,,,,,1900-06-21,Grand Union Hotel,,,,complete,2,25,
1817,15392,,,,,,,,,,,,1900-06-23,U.S. Army Transport,,,,complete,2,26,
1818,15393,,,,,,,,,,,,1900-06-20,Norddeutscher Lloyd Bremen,,,,complete,4,36,
1819,15394,,,,,,,,,,,,1900-06-23,Edward F. Lang's Ladies' And Gent's Lunch Room And Restaurant;,,Dollars,$,complete,4,237,
1820,15395,,,,,,,,,,,,1900-06-24,Griswold House,,,,complete,8,37,
1821,15397,,,,,,,,,,,,1900-06-26,Hotel Ritz,,,,complete,2,22,
1822,15399,,,,,,,,,,,,1900-06-01,Santa Fe Route,,Dollars,$,complete,2,72,
1823,15400,,,,,,,,,,,,1900-06-28,Pennsylvania Bar Association,,,,complete,8,17,
1824,15404,,,,,,,,,,,,1900-10-04,Cafe Restaurant De Paris,,Francs,FF,complete,2,81,
1825,15405,,,,,,,,,,,,1900-08-01,Grand Hotel,,,,complete,2,59,
1826,15406,,,,,,,,,,,,1900-08-02,Cie Gle Transatlantique,,,,complete,6,24,
1827,15407,,,,,,,,,,,,1900-08-04,Elka Park Association,,,,complete,4,39,
1828,15408,,,,,,,,,,,,1900-08-05,Quellenhof,,,,complete,2,11,
1829,15409,,,,,,,,,,,,1900-08-05,Grand Hotel Hof Ragatz,,,,complete,2,12,
1830,15411,,,,,,,,,,,,1900-08-07,White Star Line,,,,complete,2,17,
1831,15413,,,,,,,,,,,,1900-10-18,New State House,,,,complete,2,27,
1832,15415,,,,,,,,,,,,1900-10-19,Phi Kappa Sigma Fraternity,,,,complete,4,16,
1833,15416,,,,,,,,,,,,1901-06-08,Maison Drienne,,,,complete,2,9,
1834,15417,,,,,,,,,,,,1901-06-08,St. Louis Club,,,,complete,8,24,
1835,15418,,,,,,,,,,,,1901-06-08,Oceanic Steamship Co.   Ventura,,,,complete,2,23,
1836,15419,,,,,,,,,,,,1901-06-08,Oceanic Steamship Co.   Sierra,,,,complete,2,17,
1837,15420,,,,,,,,,,,,1900-08-26,Nippon Yusen Kaisha,,,,complete,2,12,
1838,15421,,,,,,,,,,,,1900-08-26,Nippon Pusen Kaisha,,,,complete,2,18,
1839,15422,,,,,,,,,,,,1900-01-01,Southern Pacific Company,,,,complete,2,14,
1840,15423,,,,,,,,,,,,1900-08-27,Nippon Yusen Kaisha,,,,complete,2,16,
1841,15424,,,,,,,,,,,,1900-08-27,Des Indes Hotel,,,,complete,2,5,
1842,15425,,,,,,,,,,,,1900-05-20,Iturbide Restaurant,,Dollars,$,complete,2,60,
1843,15428,,,,,,,,,,,,1900-05-01,Illinois Central Railroad,,Dollars,$,complete,2,91,
1844,15429,,,,,,,,,,,,1900-05-01,Illinois Central Railroad,,,,complete,2,88,
1845,15431,,,,,,,,,,,,1900-05-01,Chesapeake & Ohio Railway,,,,complete,2,29,
1846,15432,,,,,,,,,,,,1900-05-01,B.& O. Blue Line,,Dollars,$,complete,2,50,
1847,15433,,,,,,,,,,,,1900-05-22,York Hotel,,,,complete,2,23,
1848,15434,,,,,,,,,,,,1900-05-22,Chicago Oyster House And Restaurant,,Dollars,$,complete,6,347,
1849,15435,,,,,,,,,,,,1900-05-01,Northern Pacific Railway Dining Card Service,,,,complete,2,80,
1850,15437,,,,,,,,,,,,1900-05-22,Hotel Men's Mutual Benefit Association Of The United States And Canada,,,,complete,22,26,
1851,15438,,,,,,,,,,,,1900-05-23,Central Restaurant,,,,complete,2,11,
1852,15439,,,,,,,,,,,,1900-05-23,York Hotel,,,,complete,2,23,
1853,15440,,,,,,,,,,,,1900-05-23,Transportation Club Of New York,,,,complete,2,23,
1854,15441,,,,,,,,,,,,1900-05-23,Pabst Blue Ribbon,,Dollars,$,complete,2,47,
1855,15442,,,,,,,,,,,,1900-05-24,Pacific Mail Steamship Co.   Trans Pacific Line,,,,complete,4,25,
1856,15443,,,,,,,,,,,,1900-05-24,Bohemian Club,,,,complete,2,19,
1857,15445,,,,,,,,,,,,1900-05-24,Canadian Society Of New York,,Dollars,$,complete,4,47,
1858,15446,,,,,,,,,,,,1900-05-24,Hon.J.K.P.Hall,,,,complete,10,30,
1859,15447,,,,,,,,,,,,1900-09-15,Menzie's Hotel,,,,complete,2,22,
1860,15448,,,,,,,,,,,,1900-09-15,Hotel De Paris,,,,complete,4,7,
1861,15449,,,,,,,,,,,,1900-09-16,Nippon Yusen Kaisha,,,,complete,2,16,
1862,15450,,,,,,,,,,,,1900-09-16,Nippon Yusen Kaisha,,,,complete,2,18,
1863,15451,,,,,,,,,,,,1900-09-16,Nippon Yusen Kaisha,,,,complete,2,14,
1864,15452,,,,,,,,,,,,1900-10-04,Hotel Schweizerhof Lucerne,,,,complete,2,11,
1865,15453,,,,,,,,,,,,1900-10-04,New York Club,,,,complete,4,27,
1866,15454,,,,,,,,,,,,1900-10-05,Palace Hotel Restaurant,,Dollars,$,complete,2,353,
1867,15455,,,,,,,,,,,,1900-10-05,Palace Hotel,,Dollars,$,complete,2,36,
1868,15457,,,,,,,,,,,,1900-10-20,Palace Hotel Restaurant And Ladies Grill Room,,Dollars,$,complete,2,114,
1869,15458,,,,,,,,,,,,1900-10-21,Griswold House,,,,complete,2,48,
1870,15459,,,,,,,,,,,,1900-10-22,Hotel Grunewald,,,,complete,2,21,
1871,15460,,,,,,,,,,,,1900-08-27,Long Beach Hotel,,,,complete,2,120,
1872,15461,,,,,,,,,,,,1900-08-27,Kempinski Restaurant,,Deutsche Marks,DM,complete,2,142,
1873,15462,,,,,,,,,,,,1900-08-28,Nippon Yusen Kaisha,,,,complete,2,18,
1874,15463,,,,,,,,,,,,1900-08-28,Nippon Yusen Kaisha,,,,complete,2,14,
1875,15464,,,,,,,,,,,,1900-08-28,Nippon Yusen Kaisha,,,,complete,2,15,
1876,15465,,,,,,,,,,,,1900-08-29,Toyo Kisen Kaisha,,,,complete,2,25,
1877,15466,,,,,,,,,,,,1900-08-29,Toyo Kisen Kaisha,,,,complete,2,34,
1878,15467,,,,,,,,,,,,1900-08-29,Nippon Yusen Kaisha,,,,complete,2,13,
1879,15468,,,,,,,,,,,,1900-11-20,Merchant's Club,,,,complete,8,26,
1880,15473,,,,,,,,,,,,1900-11-22,Nippon Yusen Kaisha  S.S.Kinshin Maru,,,,complete,2,13,
1881,15474,,,,,,,,,,,,1900-11-22,Nippon Yusen Kaisha   Kinshin Maru,,,,complete,2,11,
1882,15475,,,,,,,,,,,,1900-11-24,Nippon Yusen Maru  S.S.Kinshin Maru,,,,complete,2,15,
1883,15476,,,,,,,,,,,,1900-11-25,Los Angeles Consistory #3,,,,complete,2,18,
1884,15477,,,,,,,,,,,,1900-09-16,Nippon Yusen Kaisha,,,,complete,2,21,
1885,15479,,,,,,,,,,,,1900-09-17,Nippon Yusen Kaisha,,,,complete,2,21,
1886,15480,,,,,,,,,,,,1900-09-18,Oriente Hotel,,Dollars,$,complete,4,81,
1887,15481,,,,,,,,,,,,1900-09-18,Nippon Yusen Kaisha,,,,complete,2,19,
1888,15482,,,,,,,,,,,,1900-09-18,Oriente Hotel,,,,complete,2,30,
1889,15483,,,,,,,,,,,,1900-09-01,Hotel Restaurant Grosser Kurfurst,,Deutsche Marks,DM,complete,4,113,
1890,15484,,,,,,,,,,,,1900-09-01,The Trocadero,,,,complete,4,83,
1891,15485,,,,,,,,,,,,1900-12-28,Stanton House,,,,complete,2,35,
1892,15486,,,,,,,,,,,,1900-01-01,Southern Railway   Dining Car Service,,,,complete,2,37,
1893,15487,,,,,,,,,,,,1900-12-29,Neil House,,,,complete,2,78,
1894,15488,,,,,,,,,,,,1900-12-29,University Law School   Class Of 'O2,,,,complete,8,19,
1895,15489,,,,,,,,,,,,1900-12-29,Neil House,,,,complete,2,49,
1896,15490,,,,,,,,,,,,1900-12-30,U.S.M.S.,,,,complete,2,26,
1897,15491,,,,,,,,,,,,1900-01-01,Stanton House,,,,complete,2,32,
1898,15492,,,,,,,,,,,,1900-12-30,Victoria The,,,,complete,4,45,
1899,15494,,,,,,,,,,,,1900-12-31,St. Louis Club,,,,complete,2,13,
1900,15495,,,,,,,,,,,,1900-12-31,Colonnade Restaurant,,,,complete,4,21,
1901,15497,,,,,,,,,,,,1900-12-31,Harvard Club,,,,complete,2,18,
1902,15498,,,,,,,,,,,,1901-05-06,Fifth Avenue Hotel,,,,complete,3,111,
1903,15499,,,,,,,,,,,,1901-05-07,Society Of The Colonial Daughters Of The 17th Century,,,,complete,7,13,
1904,15500,,,,,,,,,,,,1901-05-07,U.S. Goverbment(?),,,,complete,2,24,
1905,15501,,,,,,,,,,,,1901-01-01,Childs' Lunch Room,,Dollars,$,complete,2,64,
1906,15503,,,,,,,,,,,,1901-05-20,Society Of Colonial Wars In The State Of New Jersey,,,,complete,6,28,
1907,15504,,,,,,,,,,,,1901-05-20,Westminister Hotel,,,,complete,2,69,
1908,15505,,,,,,,,,,,,1901-05-20,Westminister Hotel,,,,complete,2,54,
1909,15506,,,,,,,,,,,,1901-05-20,Westminister Hotel,,,,complete,2,55,
1910,15507,,,,,,,,,,,,1901-05-20,Bailey Catering Co.,,Dollars,$,complete,2,170,
1911,15508,,,,,,,,,,,,1901-05-20,Rector's,,Dollars,$,complete,4,180,
1912,15511,,,,,,,,,,,,1901-05-21,Pullman Dining Car Service  The President,,,,complete,2,27,
1913,15512,,,,,,,,,,,,1901-05-21,Pullman Dining Car Serfvice The President,,,,complete,2,27,
1914,15513,,,,,,,,,,,,1901-05-21,Pullman Dining Car Service  The President,,,,complete,2,24,
1915,15514,,,,,,,,,,,,1901-05-21,Westminister Hotel,,,,complete,2,51,
1916,15515,,,,,,,,,,,,1901-05-21,Westminister Hotel,,,,complete,2,54,
1917,15516,,,,,,,,,,,,1901-05-21,Oceanic Steamship Company   Ventura,,,,complete,2,41,
1918,15517,,,,,,,,,,,,1901-05-21,Oceanic Steamship Company   Ventura,,,,complete,4,26,
1919,15518,,,,,,,,,,,,1901-05-22,N.C. At Squantum,,,,complete,4,57,
1920,15519,,,,,,,,,,,,1901-05-22,Geyer's Dairy Restaurant,,Dollars,$,complete,8,205,
1921,15520,,,,,,,,,,,,1901-05-22,Oceanic Steamship Company,,,,complete,2,24,
1922,15521,,,,,,,,,,,,1901-05-22,Oceanic Steamship Company,,,,complete,2,31,
1923,15522,,,,,,,,,,,,1901-05-22,Oceanic Steamship Company,,,,complete,2,27,
1924,15523,,,,,,,,,,,,1900-11-25,Nippon Yusen Kaisha,,,,complete,2,15,
1925,15524,,,,,,,,,,,,1900-11-25,Nippon Yusen Kaisha,,,,complete,2,18,
1926,15525,,,,,,,,,,,,1900-01-01,Raymond & Whitcombis Tours,,,,complete,2,28,
1927,15526,,,,,,,,,,,,1900-01-01,Raymond & Whitcombis Tours,,,,complete,2,19,
1928,15527,,,,,,,,,,,,1900-01-01,Raymond & Whitcombis Tours,,,,complete,2,13,
1929,15528,,,,,,,,,,,,1900-01-01,Southern Pacific Company,,Dollars,$,complete,2,49,
1930,15530,,,,,,,,,,,,1900-11-25,"New Hotel Berkeley,The",,,,complete,8,39,
1931,15536,,,,,,,,,,,,1900-11-29,Planters Hotel,,,,complete,8,41,
1932,15537,,,,,,,,,,,,1900-11-29,Hotel Manhattan,,Dollars,$,complete,2,125,
1933,15538,,,,,,,,,,,,1900-11-29,Hotel Manhattan,,Dollars,$,complete,2,181,
1934,15539,,,,,,,,,,,,1901-04-26,A.M. Sweet & Son Hotel & Restaurant,,Dollars,$,complete,4,318,
1935,15540,,,,,,,,,,,,1901-04-26,Astor House,,Dollars,$,complete,4,402,
1936,15541,,,,,,,,,,,,1901-04-26,Astor House,,Dollars,$,complete,4,548,
1937,15542,,,,,,,,,,,,1901-04-26,Cosmopolitan Hotel,,Dollars,$,complete,4,486,
1938,15543,,,,,,,,,,,,1901-04-26,Herald Square Hotel,,Dollars,$,complete,2,236,
1939,15544,,,,,,,,,,,,1901-05-08,Cigar Leaf Tobacco Board Of Trade Of The United States,,,,complete,2,27,
1940,15545,,,,,,,,,,,,1901-05-08,Cigar Leaf Tobacco Board Of Trade Of The United States,,,,complete,2,27,
1941,15546,,,,,,,,,,,,1901-05-08,Macy's,,,,complete,2,11,
1942,15547,,,,,,,,,,,,1901-05-08,Sphinx Club,,,,complete,2,13,
1943,15548,,,,,,,,,,,,1901-05-08,U.S.M.S St. Paul,,Dollars,$,complete,2,100,
1944,15549,,,,,,,,,,,,1901-05-08,Norddeutscher Lloyd Bremen,,,,complete,2,24,
1945,15550,,,,,,,,,,,,1900-06-01,Chesapeake Steamship Co.,,,,complete,2,54,
1946,15551,,,,,,,,,,,,1900-06-29,Hotel St. Andrew,,Dollars,$,complete,2,157,
1947,15552,,,,,,,,,,,,1900-06-30,Imperial Hotel Limited,,,,complete,2,11,
1948,15553,,,,,,,,,,,,1900-06-30,Imperial Hotel Limited,,,,complete,2,12,
1949,15554,,,,,,,,,,,,1900-06-30,New State House,,,,complete,2,30,
1950,15555,,,,,,,,,,,,1900-06-30,Penna. Soc'y. War Of 1812,,,,complete,2,18,
1951,15556,,,,,,,,,,,,1900-07-01,Victory Hotel,,,,complete,4,49,
1952,15557,,,,,,,,,,,,1901-05-23,American Inn,,Dollars,$,complete,4,110,
1953,15559,,,,,,,,,,,,1901-05-24,Oceanic Steamship Company,,,,complete,4,29,
1954,15560,,,,,,,,,,,,1901-05-24,Luchow's Pan American Restauant Co.,,Dollars,$,complete,4,273,
1955,15561,,,,,,,,,,,,1900-08-07,White Star Line,,,,complete,2,17,
1956,15562,,,,,,,,,,,,1900-08-04,Victory Hotel,,,,complete,2,47,
1957,15563,,,,,,,,,,,,1900-08-08,Victory Hotel,,,,complete,2,44,
1958,15564,,,,,,,,,,,,1900-08-08,Victory Hotel,,,,complete,2,38,
1959,15565,,,,,,,,,,,,1900-08-10,West Coast Dining Saloon,,,,complete,2,13,
1960,15566,,,,,,,,,,,,1900-08-11,Nippon Yusen Kaisha,,,,complete,2,13,
1961,15567,,,,,,,,,,,,1901-06-10,Cotton Belt Railroad Route,,Dollars,$,complete,8,61,
1962,15568,,,,,,,,,,,,1901-06-10,I.R.Benjamin,,,,complete,4,26,
1963,15569,,,,,,,,,,,,1901-06-10,Oceanic Steamship Co.   Sierra,,,,complete,2,21,
1964,15570,,,,,,,,,,,,1901-06-10,Oceanic Steamship Co.  Sierra,,,,complete,2,33,
1965,15571,,,,,,,,,,,,1901-06-11,King Edward Vll,,,,complete,6,12,
1966,15573,,,,,,,,,,,,1901-04-26,Harlow & Kuchlin Restaurant Oyster & Chop House,,Dollars,$,complete,4,485,
1967,15574,,,,,,,,,,,,1901-04-26,Arnold's Restaurant & Dairy,,Dollars,$,complete,4,330,
1968,15575,,,,,,,,,,,,1901-04-26,Rogers'restaurant,,,,complete,2,13,
1969,15576,,,,,,,,,,,,1901-04-26,Rogers' Chop House And Restaurant,,Dollars,$,complete,4,317,
1970,15577,,,,,,,,,,,,1901-04-26,E.B. Orcutt Restaurant And Cafe,,Dollars,$,complete,4,282,
1971,15578,,,,,,,,,,,,1901-04-26,Proctor's Cafe,,Dollars,$,complete,2,388,
1972,15579,,,,,,,,,,,,1901-04-26,Proctor's Cafe,,Dollars,$,complete,2,375,
1973,15580,,,,,,,,,,,,1901-04-26,New York Press Club,,Dollars,$,complete,4,312,
1974,15582,,,,,,,,,,,,1901-04-26,Herald Square Hotel,,Dollars,$,complete,2,139,
1975,15583,,,,,,,,,,,,1901-04-26,Mouquin Restaurant,,Dollars,$,complete,4,600,
1976,15584,,,,,,,,,,,,1900-05-24,Windsor Hotel,,,,complete,4,21,
1977,15585,,,,,,,,,,,,1900-05-24,Mangler's,,Dollars,$,complete,2,156,
1978,15586,,,,,,,,,,,,1900-05-24,S.A. Chamber Of Manufacturers (Inc.),,,,complete,4,49,
1979,15587,,,,,,,,,,,,1900-05-24,Pure Food Cafe,,Dollars,$,complete,2,83,
1980,15588,,,,,,,,,,,,1900-05-24,Pure Food Cafes   Annex No. 1,,Dollars,$,complete,2,28,
1981,15589,,,,,,,,,,,,1900-05-01,English Hotel Restaurant,,Dollars,$,complete,4,134,
1982,15590,,,,,,,,,,,,1900-05-01,Chicago Great Western Railway,,Dollars,$,complete,4,61,
1983,15591,,,,,,,,,,,,1900-05-25,Pacific Mail Steamship Co.,,Dollars,$,complete,4,26,
1984,15592,,,,,,,,,,,,1900-05-25,Pacific Mail Steamship Co.,,,,complete,4,16,
1985,15593,,,,,,,,,,,,1900-05-25,York Hotel,,,,complete,2,20,
1986,15594,,,,,,,,,,,,1900-05-25,Los Angeles Consistory No.3,,,,complete,2,18,
1987,15595,,,,,,,,,,,,1900-05-25,Masonic Temple Restaurant,,,,complete,2,19,
1988,15596,,,,,,,,,,,,1900-05-26,Grand Trunk Railway System,,Dollars,$,complete,2,39,
1989,15597,,,,,,,,,,,,1900-05-26,Marshall A.Newell,,,,complete,2,21,
1990,15598,,,,,,,,,,,,1900-05-26,English Hotel Restaurant,,,,complete,2,10,
1991,15599,,,,,,,,,,,,1900-05-26,Pacific Mail Steamship Company,,,,complete,4,28,
1992,15600,,,,,,,,,,,,1900-05-26,Pacific Mail Steamship Company,,,,complete,2,17,
1993,15601,,,,,,,,,,,,1900-05-26,Pacific Mail Steamship Company,,,,complete,2,20,
1994,15602,,,,,,,,,,,,1900-05-01,D&H Dining Car Service,,Dollars,$,complete,2,64,
1995,15603,,,,,,,,,,,,1900-05-01,Southern Railway,,,,complete,2,39,
1996,15604,,,,,,,,,,,,1900-05-01,Southern Railway,,,,complete,2,30,
1997,15605,,,,,,,,,,,,1900-07-01,Hamilton Club Of Chicago,,Dollars,$,complete,4,158,
1998,15606,,,,,,,,,,,,1900-07-03,Alta Vista Hotel,,,,complete,2,35,
1999,15607,,,,,,,,,,,,1900-01-01,Northern Steamship Company,,Dollars,$,complete,4,93,
2000,15608,,,,,,,,,,,,1900-04-01,Consulate Of The United States Of America,,,,complete,2,12,
2001,15609,,,,,,,,,,,,1900-07-04,New Rockingham,,,,complete,8,70,
2002,15611,,,,,,,,,,,,1900-07-04,Hotel Colorado,,,,complete,4,40,
2003,15612,,,,,,,,,,,,1900-07-04,Alta Vista Hotel,,,,complete,2,32,
2004,15613,,,,,,,,,,,,1900-07-04,Alta Vista Hotel (?),,,,complete,2,30,
2005,15614,,,,,,,,,,,,1900-07-04,Alta Vista Hotel,,,,complete,4,37,
2006,15617,,,,,,,,,,,,1900-10-07,Grandon Hotel,,,,complete,4,36,
2007,15618,,,,,,,,,,,,1900-10-07,Nippon Yusen Kaisha,,,,complete,2,23,
2008,15619,,,,,,,,,,,,1900-10-07,Chicago Beach Hotel,,,,complete,4,31,
2009,15621,,,,,,,,,,,,1900-10-08,Grandon Hotel,,,,complete,2,36,
2010,15622,,,,,,,,,,,,1900-10-08,Delmonicos,,,,complete,2,20,
2011,15623,,,,,,,,,,,,1900-10-08,Palace Hotel Restaurant,,Dollars,$,complete,2,406,
2012,15624,,,,,,,,,,,,1900-10-08,Grand Hotel,,Dollars,$,complete,4,147,
2013,15625,,,,,,,,,,,,1900-08-11,Nippon Yusen Kaisha,,,,complete,2,17,
2014,15626,,,,,,,,,,,,1900-08-11,Nippon Yusen Kaisha,,,,complete,2,16,
2015,15627,,,,,,,,,,,,1900-08-11,Nippon Yusen Kaisha,,,,complete,2,16,
2016,15628,,,,,,,,,,,,1900-08-12,Nippon Yusen Kaisha,,,,complete,2,18,
2017,15629,,,,,,,,,,,,1900-08-12,Hotel North,,,,complete,2,40,
