id,name,sponsor,event,venue,place,physical_description,physical_description 1,physical_description 2,physical_description 3,physical_description 4,size,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
20405,,OCEANIC STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS SIERRA,CARD; ILLUS; COL; 5.5X6.75;,CARD, ILLUS, COL, 5.5X6.75,5.5X6.75,,STEAMSHIP COMPANY LOGO AT TOP OF MENU; HANDWRITTEN;,1901-1712,,,1901-06-21,Oceanic Steamship Company,,,,complete,2,31
24874,,MEMBERS OF THE BAR OF DAUPHIN COUNTY PENNSYLVANIA,DINNER TO HONOURABLE JOHN B.McPHERSON,PROF;,HARRISBURG CLUB,BOOKLET;ILLUS;COL;5.5X8;,BOOKLET,ILLUS,COL,5.5X8,5.5X8,COMPLIMENTARY/TESTIMONIAL,LEATHER COVER WITH MOIRE LINING;PHOTOGRAPH OF JOHN McPHERSON;WINES SERVED;TOASTS;NAMES LISTED;,1899-279,,,1899-03-30,Members Of The Bar Of Dauphin County Pennsylvania,,,,complete,20,28
27097,,Richmond Fredericksburg and Potomac Railroad,daily menu,RAILROAD,"Dining Car, Richmond Fredericksburg and Potomac Railroad",8 1/2 x 5 1/2 in. fold. ,8 1/2 x 5 1/2 in. fold. ,,,,8 1/2 x 5 1/2 in. fold. ,,Includes rationing regulations. Advertisement : Railway Express.,Soete 120,,,1943-01-01,Richmond Fredericksburg And Potomac Railroad,,Dollars,$,complete,4,69
13050,,R.M.S. OCEANIC,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; ILLUS; 3.5 X 5.75;,CARD, ILLUS, 3.5 X 5.75,,3.5 X 5.75,,SMALL FLAG LOGO;,1900-2061,,,1900-02-23,R.M.S. Oceanic,,,,complete,2,29
28814,,Acropolis,,,,28x22cm,28x22cm,,,,28x22cm,,,1987-0049_wotm,,,1987-01-01,Acropolis,,,,complete,1,23
28667,,Johnny Johnston's,,,,33x25cm folded; 33x50cm open,33x25cm folded, 33x50cm open,,,33x25cm folded; 33x50cm open,,,1959-0028_wotm,,,1959-01-07,Johnny Johnston's,,Dollars,$,complete,4,76
14282,,GREAT NORTHERN SYSTEM,BREAKFAST,COMMERCIAL,DINING CAR,CARD; ILLUS; 4.75X7',CARD, ILLUS, 4.75X7',,4.75X7',DAILY;,MOUNT RAINER FROM SEATTLE PICTURED; NO DATE EXCEPT FOR RUBBER STAMP OF BUTTOLPH COLLECTION;,1901-1920,,,1901-01-01,Great Northern System,,Dollars,$,complete,2,54
17039,,CUNARD LINE,DINNER,COMMERCIAL,"R.M.S. ""LUCANIA""",CARD; ILLUS; COL; 4.25X6.5;,CARD, ILLUS, COL, 4.25X6.5,4.25X6.5,,"STEAMSHIP COMPANY FLAG AT TOP OF MENU; PRICED WINE, LIQUOR, TOBACCO LIST ON BACK OF MENU;",1900-2756,,,1900-04-11,Cunard Line,,,,complete,2,95
31780,,Hotel Astor,,,,23.5x14cm folded; 23.5x28.5cm open,23.5x14cm folded, 23.5x28.5cm open,,,23.5x14cm folded; 23.5x28.5cm open,,The Society of Arts and Sciences dinner for Col. William Jennings Bryan,1920-0079_wotm,,,1920-01-18,Hotel Astor,,,,complete,4,15
22266,,ST.FRANCIS HOTEL,LUNCHEON TO THE CALIFORNIA PROMOTION COMMITTEE ON THE OCCASION OF THE RESUMPTION OF HOTEL BUSINESS IN THE BURNED DISTRICT,COMMERCIAL,"SAN FRANCISCO, CA",FOLDER; ILLUS; 4.6X7.25;,FOLDER, ILLUS, 4.6X7.25,,4.6X7.25,OTHER (COMMEMORATING RESUMPTION OF BUSINESS AFTER EARTHQUAKE AND FIRE);,"WINE LIST; [""FIRST MENU IN THE NEW HOTEL AFTER THE EARTHQUAKE AND FIRE OF 1906/04/18"" - INFO SUPPLIED BY FEB]; REPRODUCTION ON COVER FROM SAN FRANCISCO ""DAUNTLESS"" OF FIRE;",1906-612,,,1906-07-23,St.Francis Hotel,,,,complete,4,16
28380,,Clark's Restaurant,,,,24x16cm folded; 24x31.5cm open,24x16cm folded, 24x31.5cm open,,,24x16cm folded; 24x31.5cm open,,,1958-0028_wotm,,,1958-04-10,Clark's Restaurant,,Dollars,$,complete,5,71
20826,,U.S.M.S.PHILADELPHIA,DINNER,NAV; (?),EN ROUTE,CARD; 4 X 6.25;,CARD, 4 X 6.25,,,4 X 6.25,,LOG0; PRICED WINE LIST ON BACK OF MENU;,1901-2521,,,1901-10-16,U.S.M.S.Philadelphia,,Dollars,$,complete,2,103
